x,y,weight
katara,aang,129
aang,katara,50
katara,sokka,49
aang,sokka,46
aang,appa,43
sokka,katara,37
sokka,aang,35
zuko,iroh,32
zuko,aang,29
iroh,zuko,28
aang,aang,27
zhao,aang,20
aang,roku,14
sokka,appa,13
katara,jet,13
aang,momo,13
shyu,aang,12
zhao,zuko,11
katara,momo,10
katara,haru,10
iroh,aang,10
zuko,zhao,10
jet,katara,9
jet,sokka,9
katara,appa,9
iroh,zhao,8
zhao,ozai,8
sokka,jet,8
gyatso,aang,8
aang,jeong jeong,7
aang,avatar roku,7
zhao,iroh,7
calm man,wu,7
bato,sokka,7
bumi,aang,7
shyu,roku,7
aang,wu,7
zhang leader,jin,6
roku,aang,6
sokka,momo,6
great fire sage,aang,6
aang,gyatso,6
shyu,avatar roku,6
katara,zuko,6
iroh,ozai,6
jet,aang,6
haru,katara,5
yue,sokka,5
bato,aang,5
sokka,wu,5
kay-fon,aang,5
kanna,katara,5
sokka,yue,5
sokka,princess yue,5
sokka,zuko,4
katara,wu,4
aang,jet,4
tyro,katara,4
aang,bumi,4
arnook,sokka,4
zhao,zhao,3
arnook,pakku,3
teo,aang,3
meng,aang,3
oyaji,aang,3
sokka,bato,3
bato,katara,3
jet,smellerbee,3
arnook,yue,3
katara,bato,3
aang,jin,3
haru's mother,haru,3
jet,the duke,3
arnook,aang,3
aang,zuko,3
aang,pakku,3
great fire sage,roku,3
tashi,aang,3
meng,wu,2
katara,avatar roku,2
aang,bato,2
meng,meng,2
sokka,sokka,2
pasang,aang,2
mechanist,teo,2
aang,kyoshi,2
katara,kyoshi,2
arnook,princess yue,2
katara,pakku,2
katara,roku,2
sokka,jin,2
arnook,hahn,2
sokka,haru,2
smellerbee,jet,2
aang,zhao,2
katara,katara,2
june,aang,2
sokka,zhao,2
jee,aang,2
pakku,katara,2
hahn,yue,2
hakoda,sokka,2
great fire sage,avatar roku,2
gan jin leader,katara,2
aang,shyu,2
ozai,zuko,2
gan jin leader,jin,2
yagoda,kanna,2
roku,sozin,2
zhao,blue spirit,2
oyaji,kyoshi,2
jee,iroh,2
jee,zuko,2
jeong jeong,aang,2
suki,aang,2
zhao,jeong jeong,2
chey,jeong jeong,2
mother superior,aang,2
jet,pipsqueak,2
roku,ozai,2
senlin village leader,aang,2
jet,longshot,2
roku,koh,1
shyu,sozin,1
shyu,ozai,1
shinu,zhao,1
aang,teo,1
sokka,bumi,1
young zuko,iroh,1
zuko,kyoshi,1
zhao,sozin,1
zhao,shinu,1
zhao,appa,1
zhang leader,canyon guide,1
zhang leader,aang,1
yue,zuko,1
yue,yue,1
yue,appa,1
yue,aang,1
the duke,jet,1
sokka,gyatso,1
southern water tribe girl,aang,1
pirate captain,momo,1
sokka,the boulder,1
sokka,suki,1
sokka,shyu,1
sokka,pipsqueak,1
sokka,ozai,1
sokka,lee,1
aang,herbalist,1
sokka,hahn,1
qin,aang,1
katara,yagoda,1
pirate captain,aang,1
great fire sage,zhao,1
june,iroh,1
jet,jet,1
jeong jeong,zhao,1
jeong jeong,roku,1
jeong jeong,avatar roku,1
aang,pipsqueak,1
iroh,song,1
iroh,lieutenant jee,1
iroh,june,1
iroh,jee,1
haru's mother,ozai,1
haru,tyro,1
haru,aang,1
hahn,sokka,1
great fire sage,shyu,1
pipsqueak,sokka,1
great fire sage,momo,1
gan jin tribesman,canyon guide,1
gan jin leader,canyon guide,1
gan jin leader,aang,1
earthbender captain,ozai,1
earthbender captain,iroh,1
chey,lin yee,1
chey,chey,1
chey,aang,1
bumi,ozai,1
bumi,momo,1
bato,the hippo,1
bato,hakoda,1
aang,yue,1
kanna,aang,1
kanna,sokka,1
katara,bumi,1
katara,canyon guide,1
pipsqueak,smellerbee,1
pipsqueak,jet,1
pasang,gyatso,1
pakku,yagoda,1
pakku,kanna,1
pakku,aang,1
ozai,iroh,1
meng,katara,1
mechanist,sokka,1
mechanist,aang,1
lin yee,jeong jeong,1
lin yee,aang,1
lieutenant jee,iroh,1
koko,aang,1
koh,aang,1
kay-fon,appa,1
katara,zhao,1
aang,the duke,1
katara,teo,1
aang,koh,1
katara,pipsqueak,1
aang,koko,1
katara,meng,1
katara,jin,1
aang,lily,1
katara,jeong jeong,1
katara,haru's mother,1
aang,ozai,1
katara,gyatso,1
katara,june,1
