x,y,weight
katara,aang,46
sokka,aang,35
aang,ozai,31
katara,sokka,29
zuko,aang,27
zuko,iroh,24
aang,katara,23
aang,sokka,19
sokka,ozai,18
sokka,suki,17
sokka,zuko,17
toph,aang,16
sokka,katara,16
aang,zuko,16
aang,aang,15
aang,momo,15
sokka,toph,14
roku,sozin,12
azula,zuko,12
aang,toph,11
toph,katara,11
aang,roku,11
aang,appa,10
mai,zuko,9
katara,toph,9
zuko,mai,9
sokka,appa,9
toph,ozai,8
toph,sokka,8
katara,zuko,8
roku,aang,8
zuko,sokka,8
hakoda,sokka,8
piandao,sokka,7
katara,appa,7
iroh,zuko,7
hakoda,katara,7
zuko,azula,7
sozin,roku,7
sokka,momo,6
hama,katara,6
zuko,ozai,6
azula,ozai,6
suki,sokka,6
ozai,ozai,6
ozai,azula,5
zuko,katara,5
sokka,kyoshi,5
sozin,aang,5
sokka,sokka,5
hakoda,aang,4
aang,sozin,4
actress aang,aang,4
iroh,aang,4
actor zuko,aang,4
azula,ty lee,4
azula,lee,4
ozai,zuko,4
zuko,sozin,3
iroh,ozai,3
ozai,aang,3
zuko,appa,3
katara,azula,3
katara,momo,3
yangchen,aang,3
sokka,hama,3
toph,zuko,3
xu,katara,3
zuko,zuko,3
azula,chan,3
azula,aang,3
avatar roku,aang,3
azula,mai,3
aang,zhao,2
the duke,pipsqueak,2
katara,hama,2
katara,iroh,2
katara,ozai,2
katara,pakku,2
toph,toph,2
azula,azula,2
toph,iroh,2
mai,iroh,2
mung,katara,2
ozai,iroh,2
the boulder,the boulder,2
ozai,sozin,2
actor iroh,zuko,2
sozin,ozai,2
actress katara,aang,2
sokka,xu,2
actor sokka,aang,2
roku,gyatso,2
roku,ozai,2
actress azula,aang,2
sokka,azula,2
sokka,mechanist,2
azula,iroh,2
sokka,iroh,2
aang,iroh,2
iroh,sozin,2
xu,xu,2
iroh,ming,2
aang,kyoshi,2
hakoda,azulon,2
hakoda,ozai,2
haru,katara,2
suki,zuko,1
zuko,jet,1
actor jet,jet,1
zuko,june,1
sokka,the duke,1
actor jet,kuei,1
sun warrior chief,ham ghao,1
sun warrior chief,iroh,1
southern raiders commander,yon rha,1
actor ozai,aang,1
aang,hama,1
sokka,ty lee,1
actor ozai,zuko,1
ursa,lee,1
zuko,lee,1
actor sokka,yue,1
sokka,kuei,1
actor zuko,azula,1
sokka,lee,1
sokka,mai,1
zuko,ty lee,1
actor toph,toph,1
sokka,pakku,1
aang,hakoda,1
aang,azula,1
sokka,piandao,1
sokka,pipsqueak,1
actor sokka,toph,1
aang,ding,1
aang,haru,1
aang,gyatso,1
the boulder,the hippo,1
teo,aang,1
aang,jeong jeong,1
ursa,azula,1
ursa,ty lee,1
warden poon,iroh,1
tyro,katara,1
ty lee,zuko,1
ty lee,mai,1
ty lee,iroh,1
aang,on ji,1
warden poon,ming,1
aang,kuei,1
toph,suki,1
yangchen,yangchen,1
aang,piandao,1
aang,yangchen,1
toph,momo,1
actor zuko,iroh,1
toph,june,1
toph,haru,1
toph,ding,1
yon rha,katara,1
toph,azula,1
toph,appa,1
yon rha's mother,yon rha,1
actor iroh,aang,1
aang,jet,1
tho,huu,1
tho,due,1
the duke,the duke,1
ursa,mai,1
blue spirit,zuko,1
roku,ta min,1
sokka,headmaster,1
katara,jeong jeong,1
iroh,roku,1
azula,sokka,1
jeong jeong,jeong jeong,1
june,aang,1
june,iroh,1
azula,long feng,1
katara,haru,1
katara,jet,1
sokka,haru,1
katara,katara,1
katara,kuei,1
katara,roku,1
katara,sozin,1
avatar roku,sozin,1
kuruk,aang,1
kuruk,koh,1
azula,sozin,1
iroh,azula,1
iroh,avatar roku,1
bato,chan,1
chan,chan,1
chan,ruon-jian,1
due,huu,1
due,tho,1
fire navy officer,chan,1
blue spirit,blue spirit,1
hakoda,appa,1
hakoda,bato,1
hakoda,hakoda,1
blue spirit,aang,1
hakoda,kuei,1
hakoda,kya,1
bato,sokka,1
hama,hama,1
bato,hakoda,1
kuruk,kuruk,1
kwan,ozai,1
kwan,sozin,1
piandao,zuko,1
pipsqueak,the duke,1
qin,ozai,1
qin lee,lee,1
qin lee,qin,1
qin lee,qin lee,1
actress azula,zuko,1
bumi,momo,1
actress aang,momo,1
actress aang,jet,1
sokka,bato,1
sokka,bumi,1
sokka,cabbage merchant,1
sokka,chit sang,1
sokka,fung,1
actor zuko,ozai,1
pipsqueak,aang,1
piandao,lee,1
kyoshi,aang,1
piandao,iroh,1
avatar roku,ozai,1
mai,mai,1
mai,ozai,1
ming,iroh,1
on ji,headmaster,1
on ji,on ji,1
actress yue,sokka,1
actress katara,zuko,1
ozai,azulon,1
actress katara,sokka,1
ozai,shinu,1
actress katara,jet,1
pakku,iroh,1
pakku,pakku,1
piandao,aang,1
mai,azula,1
