Source,Target,weight,book
Aegon-I-Targaryen,Daenerys-Targaryen,4,5
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,11,5
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,4,5
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,3,5
Aegon-Targaryen-(son-of-Rhaegar),Haldon,14,5
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,9,5
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,16,5
Aegon-Targaryen-(son-of-Rhaegar),Lemore,10,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,9,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),4,5
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,11,5
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,23,5
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,3,5
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,3,5
Aegon-Targaryen-(son-of-Rhaegar),Yandry,6,5
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,4,5
Aemon-Targaryen-(Maester-Aemon),Clydas,7,5
Aemon-Targaryen-(Maester-Aemon),Gilly,3,5
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,12,5
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,16,5
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,3,5
Aenys-Frey,Hosteen-Frey,6,5
Aenys-Frey,Theon-Greyjoy,3,5
Aenys-Frey,Wyman-Manderly,4,5
Aeron-Greyjoy,Euron-Greyjoy,4,5
Aeron-Greyjoy,Victarion-Greyjoy,3,5
Aerys-II-Targaryen,Rhaegar-Targaryen,5,5
Aerys-II-Targaryen,Robert-Baratheon,5,5
Aerys-II-Targaryen,Tywin-Lannister,6,5
Aggo,Barristan-Selmy,3,5
Aggo,Daario-Naharis,4,5
Aggo,Daenerys-Targaryen,9,5
Aggo,Grey-Worm,5,5
Aggo,Jhogo,6,5
Aggo,Rakharo,9,5
Alliser-Thorne,Jon-Snow,6,5
Alys-Karstark,Jon-Snow,13,5
Alys-Karstark,Melisandre,6,5
Alys-Karstark,Sigorn,5,5
Alysane-Mormont,Asha-Greyjoy,18,5
Alysane-Mormont,Justin-Massey,5,5
Alysane-Mormont,Stannis-Baratheon,5,5
Archibald-Yronwood,Cletus-Yronwood,5,5
Archibald-Yronwood,Gerris-Drinkwater,13,5
Archibald-Yronwood,Quentyn-Martell,21,5
Archibald-Yronwood,Tattered-Prince,4,5
Areo-Hotah,Arianne-Martell,11,5
Areo-Hotah,Arys-Oakheart,4,5
Areo-Hotah,Balon-Swann,4,5
Areo-Hotah,Doran-Martell,12,5
