Source,Target,weight,book
Aegon-I-Targaryen,Harren-Hoare,4,2
Aegon-I-Targaryen,Nan,3,2
Aegon-I-Targaryen,Rhaenys-Targaryen,4,2
Aegon-I-Targaryen,Tyrion-Lannister,3,2
Aegon-I-Targaryen,Visenya-Targaryen,3,2
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),3,2
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,3,2
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,9,2
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,11,2
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,3,2
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,5,2
Aenys-Frey,Arya-Stark,6,2
Aeron-Greyjoy,Dagmer,5,2
Aeron-Greyjoy,Theon-Greyjoy,17,2
Aerys-I-Targaryen,Robert-Baratheon,3,2
Aerys-II-Targaryen,Eddard-Stark,5,2
Aerys-II-Targaryen,Jaime-Lannister,4,2
Aerys-II-Targaryen,Rhaegar-Targaryen,4,2
Aerys-II-Targaryen,Robert-Baratheon,6,2
Aerys-II-Targaryen,Tyrion-Lannister,3,2
Aggar,Gariss,3,2
Aggar,Gelmarr,3,2
Aggar,Gynir,3,2
Aggar,Ramsay-Snow,4,2
Aggo,Belwas,3,2
Aggo,Daenerys-Targaryen,10,2
Aggo,Jhogo,12,2
Aggo,Jorah-Mormont,4,2
Aggo,Rakharo,4,2
Alayaya,Dancy,3,2
Alayaya,Tyrion-Lannister,3,2
Alebelly,Bran-Stark,7,2
Alebelly,Hayhead,3,2
Alebelly,Jojen-Reed,6,2
Alebelly,Mikken,3,2
Alester-Florent,Cortnay-Penrose,4,2
Alester-Florent,Davos-Seaworth,3,2
Alester-Florent,Renly-Baratheon,3,2
Alester-Florent,Stannis-Baratheon,5,2
Allar-Deem,Janos-Slynt,3,2
Allar-Deem,Tyrion-Lannister,4,2
Allard-Seaworth,Davos-Seaworth,5,2
Allard-Seaworth,Marya-Seaworth,5,2
Allard-Seaworth,Stannis-Baratheon,3,2
Alliser-Thorne,Jeor-Mormont,3,2
Alliser-Thorne,Joffrey-Baratheon,4,2
Alliser-Thorne,Jon-Snow,3,2
Alliser-Thorne,Tyrion-Lannister,8,2
Amabel,Arya-Stark,6,2
Amabel,Harra,4,2
Amory-Lorch,Arya-Stark,9,2
Amory-Lorch,Cersei-Lannister,4,2
Amory-Lorch,Chiswyck,4,2
Amory-Lorch,Dunsen,3,2
Amory-Lorch,Gendry,3,2
Amory-Lorch,Gregor-Clegane,7,2
Amory-Lorch,Hot-Pie,3,2
Amory-Lorch,Ilyn-Payne,4,2
