Source,Target,weight,book
Addam-Marbrand,Brynden-Tully,3,4
Addam-Marbrand,Cersei-Lannister,3,4
Addam-Marbrand,Jaime-Lannister,8,4
Addam-Marbrand,Lyle-Crakehall,4,4
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,3,4
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),3,4
Aemon-Targaryen-(Maester-Aemon),Alleras,4,4
Aemon-Targaryen-(Maester-Aemon),Clydas,5,4
Aemon-Targaryen-(Maester-Aemon),Dareon,5,4
Aemon-Targaryen-(Maester-Aemon),Gilly,17,4
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,17,4
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,41,4
Aeron-Greyjoy,Asha-Greyjoy,7,4
Aeron-Greyjoy,Baelor-Blacktyde,4,4
Aeron-Greyjoy,Balon-Greyjoy,17,4
Aeron-Greyjoy,Dunstan-Drumm,4,4
Aeron-Greyjoy,Emmond,4,4
Aeron-Greyjoy,Euron-Greyjoy,23,4
Aeron-Greyjoy,Gormond-Goodbrother,6,4
Aeron-Greyjoy,Gorold-Goodbrother,10,4
Aeron-Greyjoy,Greydon-Goodbrother,4,4
Aeron-Greyjoy,Meldred-Merlyn,7,4
Aeron-Greyjoy,Murenmure,11,4
Aeron-Greyjoy,Rus,5,4
Aeron-Greyjoy,Theon-Greyjoy,3,4
Aeron-Greyjoy,Victarion-Greyjoy,17,4
Aerys-II-Targaryen,Barristan-Selmy,4,4
Aerys-II-Targaryen,Cersei-Lannister,3,4
Aerys-II-Targaryen,Denys-Darklyn,4,4
Aerys-II-Targaryen,Elbert-Arryn,3,4
Aerys-II-Targaryen,Jaime-Lannister,6,4
Aerys-II-Targaryen,Owen-Merryweather,3,4
Aerys-II-Targaryen,Rhaegar-Targaryen,5,4
Aerys-II-Targaryen,Robert-Baratheon,3,4
Aerys-II-Targaryen,Tywin-Lannister,10,4
Alla-Tyrell,Elinor-Tyrell,8,4
Alla-Tyrell,Margaery-Tyrell,7,4
Alla-Tyrell,Megga-Tyrell,10,4
Alla-Tyrell,Osney-Kettleblack,3,4
Alleras,Armen,5,4
Alleras,Leo-Tyrell,7,4
Alleras,Marwyn,3,4
Alleras,Mollander,7,4
Alleras,Pate-(novice),8,4
Alleras,Roone,6,4
Alleras,Samwell-Tarly,8,4
Alys-Arryn,Elys-Waynwood,4,4
Alys-Arryn,Jon-Arryn,3,4
Amerei-Frey,Jaime-Lannister,6,4
Amerei-Frey,Lancel-Lannister,10,4
Amerei-Frey,Lyle-Crakehall,4,4
Anders-Yronwood,Quentyn-Martell,4,4
Andrey-Dalt,Arianne-Martell,10,4
Andrey-Dalt,Garin-(orphan),11,4
Andrey-Dalt,Myrcella-Baratheon,4,4
Andrey-Dalt,Sylva-Santagar,8,4
Andrey-Dalt,Tyene-Sand,4,4
Anya-Waynwood,Benedar-Belmore,4,4
Anya-Waynwood,Gilwood-Hunter,6,4
Anya-Waynwood,Harrold-Hardyng,6,4
Anya-Waynwood,Horton-Redfort,7,4
Anya-Waynwood,Petyr-Baelish,10,4
Anya-Waynwood,Symond-Templeton,6,4
Anya-Waynwood,Yohn-Royce,5,4
Areo-Hotah,Arianne-Martell,17,4
Areo-Hotah,Arys-Oakheart,7,4
Areo-Hotah,Caleotte,7,4
Areo-Hotah,Doran-Martell,32,4
Areo-Hotah,Myrcella-Baratheon,5,4
Areo-Hotah,Obara-Sand,7,4
Areo-Hotah,Oberyn-Martell,3,4
Arianne-Martell,Arys-Oakheart,19,4
Arianne-Martell,Cedra,8,4
Arianne-Martell,Doran-Martell,15,4
Arianne-Martell,Franklyn-Fowler,3,4
Arianne-Martell,Garin-(orphan),18,4
Arianne-Martell,Gerold-Dayne,11,4
Arianne-Martell,Mellei,3,4
Arianne-Martell,Morra,3,4
Arianne-Martell,Myrcella-Baratheon,12,4
Arianne-Martell,Oberyn-Martell,3,4
Arianne-Martell,Quentyn-Martell,8,4
Arianne-Martell,Ricasso,3,4
Arianne-Martell,Sylva-Santagar,10,4
Arianne-Martell,Timoth,3,4
Arianne-Martell,Tyene-Sand,4,4
Armen,Leo-Tyrell,3,4
Armen,Marwyn,3,4
Armen,Mollander,3,4
Armen,Pate-(novice),5,4
Armen,Roone,4,4
Arya-Stark,Bellegere-Otherys,3,4
Arya-Stark,Brea,5,4
Arya-Stark,Brusco,6,4
Arya-Stark,Dareon,5,4
Arya-Stark,Denyo-Terys,8,4
Arya-Stark,Kindly-Man,13,4
Arya-Stark,Meralyn,9,4
Arya-Stark,Nan,5,4
Arya-Stark,Sandor-Clegane,3,4
Arya-Stark,Sansa-Stark,4,4
Arya-Stark,Syrio-Forel,4,4
Arya-Stark,Talea,4,4
Arya-Stark,Ternesio-Terys,5,4
Arya-Stark,Umma,6,4
Arya-Stark,Waif,17,4
Arya-Stark,Yorko-Terys,6,4
Arys-Oakheart,Doran-Martell,3,4
Arys-Oakheart,Garin-(orphan),3,4
Arys-Oakheart,Gerold-Dayne,3,4
Arys-Oakheart,Myrcella-Baratheon,18,4
Asha-Greyjoy,Balon-Greyjoy,12,4
Asha-Greyjoy,Euron-Greyjoy,19,4
Asha-Greyjoy,Red-Oarsman,3,4
Asha-Greyjoy,Rodrik-Harlaw,7,4
Asha-Greyjoy,Theon-Greyjoy,6,4
Asha-Greyjoy,Tristifer-Botley,4,4
Asha-Greyjoy,Victarion-Greyjoy,10,4
Aurane-Waters,Cersei-Lannister,9,4
Aurane-Waters,Gyles-Rosby,3,4
Aurane-Waters,Harys-Swyft,5,4
Aurane-Waters,Loras-Tyrell,3,4
Aurane-Waters,Margaery-Tyrell,5,4
Aurane-Waters,Orton-Merryweather,3,4
Aurane-Waters,Paxter-Redwyne,3,4
Aurane-Waters,Stannis-Baratheon,3,4
Aurane-Waters,Tommen-Baratheon,3,4
Baelor-Blacktyde,Balon-Greyjoy,3,4
Baelor-Blacktyde,Euron-Greyjoy,4,4
Baelor-Blacktyde,Victarion-Greyjoy,4,4
Baelor-I-Targaryen,Cersei-Lannister,5,4
Balman-Byrch,Bronn,7,4
Balman-Byrch,Cersei-Lannister,7,4
Balman-Byrch,Falyse-Stokeworth,10,4
Balon-Greyjoy,Euron-Greyjoy,20,4
Balon-Greyjoy,Stannis-Baratheon,4,4
Balon-Greyjoy,Victarion-Greyjoy,13,4
Balon-Swann,Gregor-Clegane,3,4
Balon-Swann,Jaime-Lannister,3,4
Balon-Swann,Loras-Tyrell,4,4
Benedar-Belmore,Gilwood-Hunter,3,4
Benedar-Belmore,Horton-Redfort,5,4
Benedar-Belmore,Petyr-Baelish,5,4
Benedar-Belmore,Symond-Templeton,4,4
Beric-Dondarrion,Catelyn-Stark,3,4
Beric-Dondarrion,Jaime-Lannister,7,4
Beric-Dondarrion,Mariya-Darry,5,4
Beric-Dondarrion,Sandor-Clegane,3,4
Beric-Dondarrion,Thoros-of-Myr,5,4
Biter,Brienne-of-Tarth,5,4
Blue-Bard,Cersei-Lannister,7,4
Blue-Bard,Lambert-Turnberry,3,4
Blue-Bard,Margaery-Tyrell,6,4
Blue-Bard,Qyburn,4,4
Blue-Bard,Tallad,3,4
Bonifer-Hasty,Jaime-Lannister,4,4
Boros-Blount,Cersei-Lannister,3,4
Boros-Blount,Jaime-Lannister,3,4
Boros-Blount,Meryn-Trant,4,4
Boros-Blount,Osmund-Kettleblack,8,4
Boros-Blount,Osney-Kettleblack,3,4
Bran-Stark,Jon-Snow,6,4
Bran-Stark,Rickon-Stark,5,4
Bran-Stark,Robb-Stark,5,4
Bran-Stark,Tommen-Baratheon,3,4
Brea,Brusco,3,4
Brea,Talea,4,4
Brella,Sansa-Stark,4,4
Brienne-of-Tarth,Catelyn-Stark,10,4
Brienne-of-Tarth,Clarence-Crabb,4,4
Brienne-of-Tarth,Creighton-Longbough,8,4
Brienne-of-Tarth,Dick-Crabb,21,4
Brienne-of-Tarth,Dontos-Hollard,7,4
Brienne-of-Tarth,Elder-Brother,4,4
Brienne-of-Tarth,Gendry,6,4
Brienne-of-Tarth,Hyle-Hunt,17,4
Brienne-of-Tarth,Illifer,8,4
Brienne-of-Tarth,Jaime-Lannister,18,4
Brienne-of-Tarth,Jeyne-Heddle,4,4
Brienne-of-Tarth,Joffrey-Baratheon,4,4
Brienne-of-Tarth,Lysa-Arryn,3,4
Brienne-of-Tarth,Meribald,17,4
Brienne-of-Tarth,Narbert,6,4
